IngredientID,Name,CaloriesPerUnit,Protein
195,split pea soup with ham bacon,189,11.6
196,cream of mushroom soup,199,3.4
197,green pea soup,320,16.7
198,chicken broth soup,78,11.1
199,chicken mushroom chowder soup,431,16.2
200,chicken dumplings soup,235,13.6
201,chicken vegetable soup,148,7.1
202,turkey vegetable soup,72,3.1
203,wonton soup,71,4.6
204,beef stock,31,4.7
205,mushroom barley soup,186,4.6
206,gazpacho soup,70,10.7
207,beef mushroom soup,186,14
208,chicken rice soup,127,12.3
209,pepperpot soup,100,6.2
210,vegetable soup,149,4.3
211,chili beef soup,308,13.4
212,chicken soup,174,12.4
213,bean with frankfurters soup,188,10
214,pea soup,161,8.3
215,turkey soup,135,10.2
216,stockpot soup,201,9.8
217,hot sour soup,91,6
218,cheese soup,203,2
219,cream of potato soup,186,3.8
220,bean with bacon soup,106,5.5
221,fish stock,40,5.3
222,split pea soup with ham,381,20.7
223,beef broth soup,17,2.7
224,lentil soup with ham,139,9.3
225,tomato soup,98,2.2
226,fish broth,39,4.9
227,chili without beans canned,283,18.1
228,minestrone soup,167,8.6
229,clam chowder soup,154,4.4
230,tomato vegetable soup,54,1.9
231,cream of rice coup,127,2.2
232,cream of celery soup,181,3.3
233,chicken gravy,188,4.6
234,tomato rice soup,240,4.2
235,vegetable beef soup,128,18.1
236,tomato beef noodle soup,281,8.9
237,oyster stew soup,118,4.2
238,ramen noodle soup dry,371,8.9
239,chicken noodle soup,145,7.2
240,chicken bouillon dry,11,0.7
241,cream of asparagus soup,174,4.6
242,turkey noodle soup,139,7.8
243,cream of shrimp soup,181,5.6
244,bean with pork soup,335,15.3
245,chicken broth,12,1
246,beef broth powder,8,0.6
247,split pea soup,180,9.7
248,escarole soup,61,3.4
249,chicken stock,86,6
250,tomato bisque soup,248,4.5
251,shark fin soup,99,6.9
252,onion soup,113,7.5
253,chicken gumbo soup,113,5.3
254,crab soup,95,10.4
255,tripe soup,148,17.2
256,little india little lunch,164,0
257,original chicken sandwich chick fil a,125,0
258,sausage mcmuffin mcdonalds,383,14.6
259,sausage mcgriddles mcdonalds,421,11.4
260,crispy chicken drumstick kentucky fried chicken,70,10.6
261,chicken crispy drumsticks kentucky fried chicken,156,11.8
262,biscuit kentucky fried chicken,185,3.8
263,english muffin mcdonalds,97,5.7
264,french fries mcdonalds,378,4
265,hotdog,383,16.4
266,french fries burger king,207,2.4
267,original taco with beef cheese lettuce taco bell,158,6.1
268,hotdog with chili,296,13.5
269,chicken crispy wings kentucky fried chicken,148,9.2
270,egg white delight mcdonalds,250,0
271,french toast sticks burger king,73,1.3
272,mcchicken mcdonalds,358,13.7
273,nachos supreme taco bell,480,14.8
274,crispy chicken wing kentucky fried chicken,104,12.6
275,chicken strips burger king,105,6.6
276,crispy chicken breast kentucky fried chicken,214,38.2
277,sausage biscuit mcdonalds,440,11.3
278,sausage burrito mcdonalds,339,13
